unique_id,ds,y
Store Store 1,2013-01-01,41077
Store Store 1,2013-02-01,41306
Store Store 1,2013-03-01,55827
Store Store 1,2013-04-01,61523
Store Store 1,2013-05-01,69272
Store Store 1,2013-06-01,71531
Store Store 1,2013-07-01,77527
Store Store 1,2013-08-01,69745
Store Store 1,2013-09-01,62408
Store Store 1,2013-10-01,59130
Store Store 1,2013-11-01,62465
Store Store 1,2013-12-01,46029
Store Store 1,2014-01-01,47788
Store Store 1,2014-02-01,47838
Store Store 1,2014-03-01,63729
Store Store 1,2014-04-01,71149
Store Store 1,2014-05-01,80108
Store Store 1,2014-06-01,82196
Store Store 1,2014-07-01,89389
Store Store 1,2014-08-01,79794
Store Store 1,2014-09-01,71134
Store Store 1,2014-10-01,68740
Store Store 1,2014-11-01,72506
Store Store 1,2014-12-01,52415
Store Store 1,2015-01-01,49842
Store Store 1,2015-02-01,49530
Store Store 1,2015-03-01,66056
Store Store 1,2015-04-01,74701
Store Store 1,2015-05-01,83523
Store Store 1,2015-06-01,84745
Store Store 1,2015-07-01,93969
Store Store 1,2015-08-01,83442
Store Store 1,2015-09-01,74389
Store Store 1,2015-10-01,72520
Store Store 1,2015-11-01,74292
Store Store 1,2015-12-01,54701
Store Store 1,2016-01-01,54559
Store Store 1,2016-02-01,55722
Store Store 1,2016-03-01,71565
Store Store 1,2016-04-01,81557
Store Store 1,2016-05-01,89502
Store Store 1,2016-06-01,92231
Store Store 1,2016-07-01,103027
Store Store 1,2016-08-01,88626
Store Store 1,2016-09-01,81444
Store Store 1,2016-10-01,78436
Store Store 1,2016-11-01,80578
Store Store 1,2016-12-01,60246
Store Store 1,2017-01-01,56086
Store Store 1,2017-02-01,56098
Store Store 1,2017-03-01,74037
Store Store 1,2017-04-01,85338
Store Store 1,2017-05-01,92248
Store Store 1,2017-06-01,96188
Store Store 1,2017-07-01,106187
Store Store 1,2017-08-01,92856
Store Store 1,2017-09-01,84759
Store Store 1,2017-10-01,80519
Store Store 1,2017-11-01,84500
Store Store 1,2017-12-01,62958
Store Store 2,2013-01-01,58520
Store Store 2,2013-02-01,59384
Store Store 2,2013-03-01,79609
Store Store 2,2013-04-01,87987
Store Store 2,2013-05-01,98361
Store Store 2,2013-06-01,102158
Store Store 2,2013-07-01,109645
Store Store 2,2013-08-01,97992
Store Store 2,2013-09-01,88673
Store Store 2,2013-10-01,84093
Store Store 2,2013-11-01,88874
Store Store 2,2013-12-01,64942
Store Store 2,2014-01-01,67315
Store Store 2,2014-02-01,67605
Store Store 2,2014-03-01,90547
Store Store 2,2014-04-01,101464
Store Store 2,2014-05-01,113269
Store Store 2,2014-06-01,116490
Store Store 2,2014-07-01,127024
Store Store 2,2014-08-01,113216
Store Store 2,2014-09-01,100340
Store Store 2,2014-10-01,97733
Store Store 2,2014-11-01,102805
Store Store 2,2014-12-01,73989
Store Store 2,2015-01-01,70879
Store Store 2,2015-02-01,70950
Store Store 2,2015-03-01,93004
Store Store 2,2015-04-01,106166
Store Store 2,2015-05-01,118780
Store Store 2,2015-06-01,119672
Store Store 2,2015-07-01,132807
Store Store 2,2015-08-01,118226
Store Store 2,2015-09-01,105423
Store Store 2,2015-10-01,102258
Store Store 2,2015-11-01,105985
Store Store 2,2015-12-01,78034
Store Store 2,2016-01-01,77392
Store Store 2,2016-02-01,78851
Store Store 2,2016-03-01,101595
Store Store 2,2016-04-01,115554
Store Store 2,2016-05-01,126603
Store Store 2,2016-06-01,131535
Store Store 2,2016-07-01,146393
Store Store 2,2016-08-01,125985
Store Store 2,2016-09-01,115018
Store Store 2,2016-10-01,110753
Store Store 2,2016-11-01,114705
Store Store 2,2016-12-01,85139
Store Store 2,2017-01-01,78544
Store Store 2,2017-02-01,79702
Store Store 2,2017-03-01,106083
Store Store 2,2017-04-01,120031
Store Store 2,2017-05-01,130474
Store Store 2,2017-06-01,136355
Store Store 2,2017-07-01,150105
Store Store 2,2017-08-01,131863
Store Store 2,2017-09-01,120038
Store Store 2,2017-10-01,114492
Store Store 2,2017-11-01,119358
Store Store 2,2017-12-01,89341
Store Store 3,2013-01-01,51972
Store Store 3,2013-02-01,52081
Store Store 3,2013-03-01,70069
Store Store 3,2013-04-01,77767
Store Store 3,2013-05-01,86664
Store Store 3,2013-06-01,90659
Store Store 3,2013-07-01,97233
Store Store 3,2013-08-01,87559
Store Store 3,2013-09-01,78653
Store Store 3,2013-10-01,74593
Store Store 3,2013-11-01,78754
Store Store 3,2013-12-01,57932
Store Store 3,2014-01-01,59674
Store Store 3,2014-02-01,60408
Store Store 3,2014-03-01,80280
Store Store 3,2014-04-01,90321
Store Store 3,2014-05-01,100332
Store Store 3,2014-06-01,103340
Store Store 3,2014-07-01,112166
Store Store 3,2014-08-01,101012
Store Store 3,2014-09-01,89139
Store Store 3,2014-10-01,86474
Store Store 3,2014-11-01,91540
Store Store 3,2014-12-01,65834
Store Store 3,2015-01-01,62932
Store Store 3,2015-02-01,63142
Store Store 3,2015-03-01,83320
Store Store 3,2015-04-01,93872
Store Store 3,2015-05-01,105244
Store Store 3,2015-06-01,106989
Store Store 3,2015-07-01,118281
Store Store 3,2015-08-01,104520
Store Store 3,2015-09-01,93956
Store Store 3,2015-10-01,90501
Store Store 3,2015-11-01,94132
Store Store 3,2015-12-01,69214
Store Store 3,2016-01-01,68337
Store Store 3,2016-02-01,70105
Store Store 3,2016-03-01,90646
Store Store 3,2016-04-01,103643
Store Store 3,2016-05-01,112735
Store Store 3,2016-06-01,116536
Store Store 3,2016-07-01,129823
Store Store 3,2016-08-01,112073
Store Store 3,2016-09-01,102485
Store Store 3,2016-10-01,97877
Store Store 3,2016-11-01,100928
Store Store 3,2016-12-01,75431
Store Store 3,2017-01-01,70882
Store Store 3,2017-02-01,70871
Store Store 3,2017-03-01,93857
Store Store 3,2017-04-01,106875
Store Store 3,2017-05-01,116926
Store Store 3,2017-06-01,121673
Store Store 3,2017-07-01,133369
Store Store 3,2017-08-01,116563
Store Store 3,2017-09-01,106600
Store Store 3,2017-10-01,100983
Store Store 3,2017-11-01,105920
Store Store 3,2017-12-01,79447
Store Store 4,2013-01-01,47720
Store Store 4,2013-02-01,48806
Store Store 4,2013-03-01,64522
Store Store 4,2013-04-01,71801
Store Store 4,2013-05-01,80487
Store Store 4,2013-06-01,83900
Store Store 4,2013-07-01,90077
Store Store 4,2013-08-01,80435
Store Store 4,2013-09-01,72243
Store Store 4,2013-10-01,68884
Store Store 4,2013-11-01,73146
Store Store 4,2013-12-01,53038
Store Store 4,2014-01-01,55657
Store Store 4,2014-02-01,55433
Store Store 4,2014-03-01,73721
Store Store 4,2014-04-01,82768
Store Store 4,2014-05-01,92772
Store Store 4,2014-06-01,95054
Store Store 4,2014-07-01,103734
Store Store 4,2014-08-01,93136
Store Store 4,2014-09-01,82594
Store Store 4,2014-10-01,80049
Store Store 4,2014-11-01,83712
Store Store 4,2014-12-01,60575
Store Store 4,2015-01-01,58062
Store Store 4,2015-02-01,58192
Store Store 4,2015-03-01,77155
Store Store 4,2015-04-01,86655
Store Store 4,2015-05-01,97291
Store Store 4,2015-06-01,98742
Store Store 4,2015-07-01,108921
Store Store 4,2015-08-01,96970
Store Store 4,2015-09-01,86467
Store Store 4,2015-10-01,83473
Store Store 4,2015-11-01,86697
Store Store 4,2015-12-01,64105
Store Store 4,2016-01-01,63396
Store Store 4,2016-02-01,64865
Store Store 4,2016-03-01,82693
Store Store 4,2016-04-01,94366
Store Store 4,2016-05-01,103965
Store Store 4,2016-06-01,107429
Store Store 4,2016-07-01,119964
Store Store 4,2016-08-01,103041
Store Store 4,2016-09-01,94480
Store Store 4,2016-10-01,90296
Store Store 4,2016-11-01,93816
Store Store 4,2016-12-01,69884
Store Store 4,2017-01-01,64936
Store Store 4,2017-02-01,65073
Store Store 4,2017-03-01,86458
Store Store 4,2017-04-01,98621
Store Store 4,2017-05-01,107464
Store Store 4,2017-06-01,111234
Store Store 4,2017-07-01,123346
Store Store 4,2017-08-01,107989
Store Store 4,2017-09-01,98387
Store Store 4,2017-10-01,93505
Store Store 4,2017-11-01,96856
Store Store 4,2017-12-01,73581
Store Store 5,2013-01-01,34405
Store Store 5,2013-02-01,34918
Store Store 5,2013-03-01,47082
Store Store 5,2013-04-01,51944
Store Store 5,2013-05-01,57794
Store Store 5,2013-06-01,60804
Store Store 5,2013-07-01,65075
Store Store 5,2013-08-01,58368
Store Store 5,2013-09-01,52544
Store Store 5,2013-10-01,49876
Store Store 5,2013-11-01,52454
Store Store 5,2013-12-01,38519
Store Store 5,2014-01-01,39893
Store Store 5,2014-02-01,40105
Store Store 5,2014-03-01,53527
Store Store 5,2014-04-01,60359
Store Store 5,2014-05-01,67257
Store Store 5,2014-06-01,69232
Store Store 5,2014-07-01,75088
Store Store 5,2014-08-01,67413
Store Store 5,2014-09-01,59706
Store Store 5,2014-10-01,57884
Store Store 5,2014-11-01,61256
Store Store 5,2014-12-01,43879
Store Store 5,2015-01-01,42234
Store Store 5,2015-02-01,41769
Store Store 5,2015-03-01,55783
Store Store 5,2015-04-01,62600
Store Store 5,2015-05-01,70545
Store Store 5,2015-06-01,71233
Store Store 5,2015-07-01,79197
Store Store 5,2015-08-01,69808
Store Store 5,2015-09-01,62752
Store Store 5,2015-10-01,60233
Store Store 5,2015-11-01,62899
Store Store 5,2015-12-01,46289
Store Store 5,2016-01-01,45854
Store Store 5,2016-02-01,47211
Store Store 5,2016-03-01,60099
Store Store 5,2016-04-01,68409
Store Store 5,2016-05-01,75435
Store Store 5,2016-06-01,78002
Store Store 5,2016-07-01,86466
Store Store 5,2016-08-01,74652
Store Store 5,2016-09-01,68145
Store Store 5,2016-10-01,66291
Store Store 5,2016-11-01,68175
Store Store 5,2016-12-01,50532
Store Store 5,2017-01-01,46812
Store Store 5,2017-02-01,47355
Store Store 5,2017-03-01,62811
Store Store 5,2017-04-01,71450
Store Store 5,2017-05-01,77784
Store Store 5,2017-06-01,81196
Store Store 5,2017-07-01,89217
Store Store 5,2017-08-01,77991
Store Store 5,2017-09-01,71440
Store Store 5,2017-10-01,67787
Store Store 5,2017-11-01,70569
Store Store 5,2017-12-01,52609
Store Store 6,2013-01-01,34944
Store Store 6,2013-02-01,34808
Store Store 6,2013-03-01,47214
Store Store 6,2013-04-01,51647
Store Store 6,2013-05-01,57732
Store Store 6,2013-06-01,60712
Store Store 6,2013-07-01,64973
Store Store 6,2013-08-01,58443
Store Store 6,2013-09-01,52476
Store Store 6,2013-10-01,50217
Store Store 6,2013-11-01,52959
Store Store 6,2013-12-01,38248
Store Store 6,2014-01-01,40107
Store Store 6,2014-02-01,40285
Store Store 6,2014-03-01,53649
Store Store 6,2014-04-01,59942
Store Store 6,2014-05-01,67464
Store Store 6,2014-06-01,68874
Store Store 6,2014-07-01,75164
Store Store 6,2014-08-01,67474
Store Store 6,2014-09-01,59764
Store Store 6,2014-10-01,57590
Store Store 6,2014-11-01,60548
Store Store 6,2014-12-01,44353
Store Store 6,2015-01-01,42007
Store Store 6,2015-02-01,41673
Store Store 6,2015-03-01,56062
Store Store 6,2015-04-01,62466
Store Store 6,2015-05-01,70529
Store Store 6,2015-06-01,71203
Store Store 6,2015-07-01,79123
Store Store 6,2015-08-01,69825
Store Store 6,2015-09-01,62818
Store Store 6,2015-10-01,60862
Store Store 6,2015-11-01,62965
Store Store 6,2015-12-01,46384
Store Store 6,2016-01-01,45476
Store Store 6,2016-02-01,46466
Store Store 6,2016-03-01,60164
Store Store 6,2016-04-01,69010
Store Store 6,2016-05-01,75020
Store Store 6,2016-06-01,77607
Store Store 6,2016-07-01,86451
Store Store 6,2016-08-01,74420
Store Store 6,2016-09-01,68146
Store Store 6,2016-10-01,65617
Store Store 6,2016-11-01,67391
Store Store 6,2016-12-01,50531
Store Store 6,2017-01-01,46913
Store Store 6,2017-02-01,47122
Store Store 6,2017-03-01,62496
Store Store 6,2017-04-01,71325
Store Store 6,2017-05-01,77437
Store Store 6,2017-06-01,80993
Store Store 6,2017-07-01,89642
Store Store 6,2017-08-01,78061
Store Store 6,2017-09-01,70782
Store Store 6,2017-10-01,67904
Store Store 6,2017-11-01,70696
Store Store 6,2017-12-01,52496
Store Store 7,2013-01-01,31508
Store Store 7,2013-02-01,32021
Store Store 7,2013-03-01,42932
Store Store 7,2013-04-01,47464
Store Store 7,2013-05-01,52876
Store Store 7,2013-06-01,55327
Store Store 7,2013-07-01,59550
Store Store 7,2013-08-01,53456
Store Store 7,2013-09-01,48024
Store Store 7,2013-10-01,45922
Store Store 7,2013-11-01,47986
Store Store 7,2013-12-01,35157
Store Store 7,2014-01-01,36891
Store Store 7,2014-02-01,36698
Store Store 7,2014-03-01,49263
Store Store 7,2014-04-01,55026
Store Store 7,2014-05-01,61574
Store Store 7,2014-06-01,63249
Store Store 7,2014-07-01,68478
Store Store 7,2014-08-01,61769
Store Store 7,2014-09-01,54286
Store Store 7,2014-10-01,53004
Store Store 7,2014-11-01,55569
Store Store 7,2014-12-01,40171
Store Store 7,2015-01-01,38471
Store Store 7,2015-02-01,38168
Store Store 7,2015-03-01,51044
Store Store 7,2015-04-01,57517
Store Store 7,2015-05-01,64417
Store Store 7,2015-06-01,65762
Store Store 7,2015-07-01,71890
Store Store 7,2015-08-01,63797
Store Store 7,2015-09-01,57418
Store Store 7,2015-10-01,55445
Store Store 7,2015-11-01,58102
Store Store 7,2015-12-01,42236
Store Store 7,2016-01-01,41980
Store Store 7,2016-02-01,42796
Store Store 7,2016-03-01,55161
Store Store 7,2016-04-01,62535
Store Store 7,2016-05-01,68807
Store Store 7,2016-06-01,71315
Store Store 7,2016-07-01,78795
Store Store 7,2016-08-01,67728
Store Store 7,2016-09-01,62661
Store Store 7,2016-10-01,59997
Store Store 7,2016-11-01,62517
Store Store 7,2016-12-01,46090
Store Store 7,2017-01-01,42754
Store Store 7,2017-02-01,43326
Store Store 7,2017-03-01,57150
Store Store 7,2017-04-01,65339
Store Store 7,2017-05-01,71055
Store Store 7,2017-06-01,74483
Store Store 7,2017-07-01,81557
Store Store 7,2017-08-01,71442
Store Store 7,2017-09-01,64990
Store Store 7,2017-10-01,62075
Store Store 7,2017-11-01,64743
Store Store 7,2017-12-01,48245
Store Store 8,2013-01-01,56043
Store Store 8,2013-02-01,56279
Store Store 8,2013-03-01,75889
Store Store 8,2013-04-01,83568
Store Store 8,2013-05-01,93753
Store Store 8,2013-06-01,97797
Store Store 8,2013-07-01,105040
Store Store 8,2013-08-01,94052
Store Store 8,2013-09-01,84722
Store Store 8,2013-10-01,80809
Store Store 8,2013-11-01,84828
Store Store 8,2013-12-01,61875
Store Store 8,2014-01-01,64528
Store Store 8,2014-02-01,65163
Store Store 8,2014-03-01,86233
Store Store 8,2014-04-01,96410
Store Store 8,2014-05-01,108324
Store Store 8,2014-06-01,110975
Store Store 8,2014-07-01,121926
Store Store 8,2014-08-01,108946
Store Store 8,2014-09-01,96793
Store Store 8,2014-10-01,93060
Store Store 8,2014-11-01,98548
Store Store 8,2014-12-01,70991
Store Store 8,2015-01-01,67871
Store Store 8,2015-02-01,67910
Store Store 8,2015-03-01,89500
Store Store 8,2015-04-01,101217
Store Store 8,2015-05-01,114173
Store Store 8,2015-06-01,114923
Store Store 8,2015-07-01,127324
Store Store 8,2015-08-01,113029
Store Store 8,2015-09-01,100821
Store Store 8,2015-10-01,97821
Store Store 8,2015-11-01,101946
Store Store 8,2015-12-01,74511
Store Store 8,2016-01-01,74359
Store Store 8,2016-02-01,75426
Store Store 8,2016-03-01,96962
Store Store 8,2016-04-01,110071
Store Store 8,2016-05-01,121455
Store Store 8,2016-06-01,125204
Store Store 8,2016-07-01,139676
Store Store 8,2016-08-01,120903
Store Store 8,2016-09-01,109688
Store Store 8,2016-10-01,106091
Store Store 8,2016-11-01,109241
Store Store 8,2016-12-01,81619
Store Store 8,2017-01-01,75440
Store Store 8,2017-02-01,76797
Store Store 8,2017-03-01,100847
Store Store 8,2017-04-01,115244
Store Store 8,2017-05-01,125182
Store Store 8,2017-06-01,131107
Store Store 8,2017-07-01,143308
Store Store 8,2017-08-01,125972
Store Store 8,2017-09-01,114280
Store Store 8,2017-10-01,109956
Store Store 8,2017-11-01,114367
Store Store 8,2017-12-01,85376
Store Store 9,2013-01-01,47620
Store Store 9,2013-02-01,48190
Store Store 9,2013-03-01,64989
Store Store 9,2013-04-01,71782
Store Store 9,2013-05-01,80093
Store Store 9,2013-06-01,83420
Store Store 9,2013-07-01,90194
Store Store 9,2013-08-01,80650
Store Store 9,2013-09-01,72873
Store Store 9,2013-10-01,69193
Store Store 9,2013-11-01,73173
Store Store 9,2013-12-01,53611
Store Store 9,2014-01-01,55410
Store Store 9,2014-02-01,55917
Store Store 9,2014-03-01,74326
Store Store 9,2014-04-01,82704
Store Store 9,2014-05-01,93032
Store Store 9,2014-06-01,95704
Store Store 9,2014-07-01,104122
Store Store 9,2014-08-01,93296
Store Store 9,2014-09-01,82839
Store Store 9,2014-10-01,79265
Store Store 9,2014-11-01,84336
Store Store 9,2014-12-01,60828
Store Store 9,2015-01-01,58395
Store Store 9,2015-02-01,57810
Store Store 9,2015-03-01,76923
Store Store 9,2015-04-01,87258
Store Store 9,2015-05-01,97594
Store Store 9,2015-06-01,98467
Store Store 9,2015-07-01,109788
Store Store 9,2015-08-01,97092
Store Store 9,2015-09-01,87050
Store Store 9,2015-10-01,84090
Store Store 9,2015-11-01,87554
Store Store 9,2015-12-01,64000
Store Store 9,2016-01-01,63038
Store Store 9,2016-02-01,64854
Store Store 9,2016-03-01,83060
Store Store 9,2016-04-01,95400
Store Store 9,2016-05-01,104113
Store Store 9,2016-06-01,108033
Store Store 9,2016-07-01,120234
Store Store 9,2016-08-01,103456
Store Store 9,2016-09-01,94463
Store Store 9,2016-10-01,90819
Store Store 9,2016-11-01,93861
Store Store 9,2016-12-01,69500
Store Store 9,2017-01-01,65512
Store Store 9,2017-02-01,65638
Store Store 9,2017-03-01,86268
Store Store 9,2017-04-01,98629
Store Store 9,2017-05-01,107765
Store Store 9,2017-06-01,112270
Store Store 9,2017-07-01,123024
Store Store 9,2017-08-01,108138
Store Store 9,2017-09-01,99063
Store Store 9,2017-10-01,93970
Store Store 9,2017-11-01,98013
Store Store 9,2017-12-01,73267
Store Store 10,2013-01-01,51095
Store Store 10,2013-02-01,51624
Store Store 10,2013-03-01,69249
Store Store 10,2013-04-01,76791
Store Store 10,2013-05-01,86210
Store Store 10,2013-06-01,89289
Store Store 10,2013-07-01,96608
Store Store 10,2013-08-01,86061
Store Store 10,2013-09-01,77291
Store Store 10,2013-10-01,73870
Store Store 10,2013-11-01,78004
Store Store 10,2013-12-01,57256
Store Store 10,2014-01-01,58724
Store Store 10,2014-02-01,59665
Store Store 10,2014-03-01,79026
Store Store 10,2014-04-01,88771
Store Store 10,2014-05-01,98745
Store Store 10,2014-06-01,101728
Store Store 10,2014-07-01,111919
Store Store 10,2014-08-01,99540
Store Store 10,2014-09-01,88529
Store Store 10,2014-10-01,85084
Store Store 10,2014-11-01,89963
Store Store 10,2014-12-01,65013
Store Store 10,2015-01-01,61820
Store Store 10,2015-02-01,62173
Store Store 10,2015-03-01,82104
Store Store 10,2015-04-01,92015
Store Store 10,2015-05-01,104806
Store Store 10,2015-06-01,105448
Store Store 10,2015-07-01,116050
Store Store 10,2015-08-01,103692
Store Store 10,2015-09-01,92238
Store Store 10,2015-10-01,90050
Store Store 10,2015-11-01,93073
Store Store 10,2015-12-01,68098
Store Store 10,2016-01-01,68048
Store Store 10,2016-02-01,68661
Store Store 10,2016-03-01,88936
Store Store 10,2016-04-01,101405
Store Store 10,2016-05-01,111095
Store Store 10,2016-06-01,114772
Store Store 10,2016-07-01,127889
Store Store 10,2016-08-01,110610
Store Store 10,2016-09-01,100301
Store Store 10,2016-10-01,97460
Store Store 10,2016-11-01,100236
Store Store 10,2016-12-01,74439
Store Store 10,2017-01-01,69427
Store Store 10,2017-02-01,69387
Store Store 10,2017-03-01,92660
Store Store 10,2017-04-01,106010
Store Store 10,2017-05-01,114351
Store Store 10,2017-06-01,119125
Store Store 10,2017-07-01,131638
Store Store 10,2017-08-01,115528
Store Store 10,2017-09-01,104924
Store Store 10,2017-10-01,99969
Store Store 10,2017-11-01,103815
Store Store 10,2017-12-01,77850
